ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate
10019419489,138,68,428,421,3123.2700000000004,1221.3400000000001,3839.0,1.2491226904627888,28.11814982008513,958.0289440415197,21.453004191895463,11.879882227693095
10019436951,0,5,599,573,3481.7,1139.43,1548.0,15.263701962205667,39.28150911943511,829.4409166748454,15.023986652272038,13.68995730689959
10019436955,0,0,79,79,315.12,46.69000000000001,185.0,2.2709325425762854,11.726868099074927,233.07478728168383,0.899955217196597,1.8681370353784144
10019437011,0,0,124,120,341.97999999999996,52.00999999999999,328.0,2.5511781787599634,16.03168196291446,318.12443778110946,0.18703148425787103,2.809370314842588
10020436612,0,1,137,142,3440.2700000000004,1191.5699999999997,4365.0,13.990280423745094,35.99342159999995,1078.2852855356398,18.624760316798653,12.871609003751537
10020437647,27,22,109,91,716.54,279.15999999999985,412.0,2.49964718405818,31.104242344936026,1102.8639508070714,26.492083013066882,17.93866256725594
10020438503,5,29,76,72,761.0299999999988,294.02,472.0,2.5000064223847467,28.912003175443292,1015.2467583497053,22.467583497053038,15.611257367387026
10020439582,0,2,31,37,746.0900000000001,259.9000000000001,582.0,2.4997863793340382,26.76692574400467,921.8079268292682,20.340069686411177,13.81108449477351
10020439692,16,42,76,70,1341.6400000000012,539.8100000000004,1117.0,7.298905715339116,31.96334913112171,1081.4644104803494,26.41528384279489,17.7888100436681
10020442466,13,26,184,194,3223.209999999999,1373.58,2691.0,11.279849767285066,39.643849046221554,1023.7944444444445,30.338635477582955,18.650180311890892
10020442627,15,29,183,144,3395.0999999999985,1349.5900000000001,2557.0,11.464936749144712,40.06561741079771,972.3023048768424,23.766623800573683,16.549431199920832
10020442686,120,92,205,183,3232.34,1253.2799999999997,2172.0,12.823386737339117,47.54589103538096,1046.1545099893603,30.214540725854217,19.562495566851943
10020443234,16,42,203,189,3399.7999999999993,1374.4899999999998,2967.0,11.464830432636056,40.6084153846154,979.207588436668,26.59973373906419,16.793186572841407
10020443365,18,396,251,291,6339.4699999999975,1924.5500000000006,5939.0,21.867361672920897,57.02883917919371,1066.505370438179,29.676797265958577,17.648694007079133
10020443429,121,209,142,154,2449.2599999999993,900.5100000000002,2006.0,10.386716299730196,47.368047860580376,1177.8699032206885,32.259368554656405,20.04885768681578
10020443580,0,0,314,324,1797.9099999999999,570.6599999999999,3275.0,5.8606729977006085,23.538802418568462,816.8799780581459,11.573318705430584,7.806374108612205
10020443613,0,7,137,177,2288.69,639.9300000000001,3121.0,7.853876088386227,38.77983674435127,990.7698947936336,15.958456973293787,11.239742379282438
10020443638,0,41,65,50,1488.4899999999998,408.27000000000044,2565.0,8.861571550328298,28.472581067325997,883.2850301525364,13.191486342674699,9.273838240510818
10020443665,24,47,500,480,1781.5200000000004,774.3600000000001,3933.0,0.9135773543542914,30.37599840113704,890.4593012094452,21.259704357842228,11.82800441543484
10020443668,0,1,319,270,1850.3500000000004,955.1500000000003,3123.0,0.7312739144650262,26.330360247334184,958.5586078795582,22.321541018871603,13.222164646069569
10020443670,0,1,132,136,957.1500000000005,316.44000000000005,871.0,1.888741875005686,24.46909485879802,924.9955545156762,14.602994852597122,9.30627047262517
10020443871,5,40,899,913,2811.54,1191.8499999999997,6437.5,0.9196372103574361,29.175390115667703,875.9116827438371,22.237727759914197,11.026530010718217
10020444142,330,209,161,170,2506.54,821.3199999999999,7277.0,8.575480807556504,43.88522868032413,1073.4505312543122,26.423347592107206,16.94484614323166
10020444209,0,0,114,106,2461.7000000000003,696.6899999999999,613.0,5.995718523528098,31.203365451475236,894.7122791616372,13.474991769998852,9.912141994952274
10020444473,0,0,106,116,2041.7400000000007,587.6699999999998,4455.0,6.704717535798581,32.17240936470078,849.8764668769716,15.120050473186152,10.180719242902248
10020444636,4,17,152,114,1794.4399999999996,641.8299999999999,3854.0,3.103327846093607,29.55235436893232,952.9953989935299,19.40917325664994,12.78014378145218
10020445034,0,0,177,193,1604.04,599.8600000000001,2689.0,2.0439633843650475,27.000397492014898,846.0428089128967,18.30968264686019,10.14933153274813
10020445238,0,0,26,30,143.16999999999985,41.69999999999999,388.5,0.4942826048982509,9.344804828973809,746.4374090247453,7.028529839883552,4.85393013100437
10020445261,52,28,292,300,1871.88,638.54,3550.0,3.6149850869448934,32.176084556664875,981.0359029941742,17.002465790543294,12.529670776317511
10020445409,0,0,108,103,1103.9499999999998,334.03999999999996,1375.0,10.532358474376238,23.80373548484403,861.4988719684151,15.37416807670611,8.361148712163923
10020445514,132,55,94,104,3273.960000000001,967.04,2988.0,5.166526522949531,40.58270639298325,1030.6071601588994,22.44135258211416,12.979551400058062
10020445602,1,1,184,187,1528.98,402.53999999999996,3040.0,5.4788269558653715,27.7681706528766,903.4759455872595,15.584339747843387,8.634331453218309
10020445606,0,0,24,25,403.3600000000001,122.51999999999998,1188.0,2.4054816461740085,14.46261947817103,805.2511923688394,10.371595124536299,7.812718600953896
10020447429,5,10,130,113,1126.7200000000003,347.27,2117.0,4.573535011654876,27.84708301943653,1090.1930360415395,18.505966198330263,11.846752188963546
10021048785,3,37,443,447,3976.279999999999,1328.1099999999988,9243.0,4.078318041983119,35.0012017192649,1000.1690913427141,16.993870736942572,11.205386954447865
10021049637,4,14,225,208,3089.1299999999974,1206.9899999999998,4162.0,7.2208320993793995,36.661698223371545,1077.6073083311478,23.97003234548512,15.376956027624777
