"","xtnb_overspeed","xtnb_highspeedbrake","xtnb_harshacceleration","xtnb_harshdeceleration"
"","b","b","b","b"
"main","","","",""
"id138","-19.39056","-17.42344","-.8268558","-.8897744"
"id139","-4.105091","-1.186515","-.9219065","-.6767803"
"id140","-2.970261","-.6149075","-1.27641","-1.035091"
"id141","-25.40712","-22.20351","-1.070747","-1.100158"
"id142","-38.17717","-.8733949",".0499731",".1745812"
"id143","-38.57945","-.3974773","-.3683889","-.1572356"
"id144","-.585408",".551285",".0260973",".1665148"
"id145","-2.485041","-1.272688","-.7497275","-.6310859"
"id146","-23.85261","-1.250033","-1.130148","-.7583229"
"id147","-2.851428","-.0796061","-1.020878","-.8964568"
"id148","-3.737319","1.617003","-.0482931","-.0519863"
"id149","-3.2016","-1.183914","-.554336","-.3430871"
"id150","-3.616307","-.9046336","-1.166532","-.9048067"
"id151","-.3617837","-1.167145","-1.654442","-1.676742"
"id152","-33.98696","-3.750801","-1.421137","-1.382443"
"id153","-1.598234","-.1686805","-2.936138","-3.066629"
"id154","-22.41574","-2.715593","-1.703302","-1.482516"
"id155","-4.238399","-2.440505","-.7589555","-.8135534"
"id156","-44.39749","-1.456434","-.589936","-.4287693"
"id157","-1.86807",".3373004","-.7529497","-.502342"
"id158","-19.81511","-17.98147",".6781235",".7436617"
"id159","-19.81605","-18.41603",".8274236",".7147024"
"id160","-3.78954",".5497271",".1479687",".3365855"
"id161","-22.82124","-19.89543",".6076869",".4942712"
"id162","-20.71886","-18.60835",".4310433",".1760446"
"id163","-23.05521","-20.45402","1.84444","1.655994"
"id164","-2.922908","-2.55742","-.2448817","-.3013953"
"id165","-21.48015","-19.51455","1.34123","1.446542"
"id166","-26.52692","-2.438539","-.1576625","-.0533842"
"id167","-2.695894","-4.123766","1.119147","1.089196"
"id168","-5.730656","-1.939806",".0447035",".0115015"
"id169","-26.92349","-23.39421",".4725649",".4220891"
"id170","-15.4363","-13.88892","-19.55178","-.6836622"
"id171","-3.650139","-1.497163","-.3437945","-.3126168"
"id172","-3.658726","-1.951227","-.4270153","-.3666084"
"id173","-3.036163","-3.500348","-.8744121","-.8875228"
"id174","1.45313",".3609737","-1.484492","-1.288368"
"id175","-.6876949","1.614633",".1138666",".3325874"
"id176","-1.665786","-.3125339",".529704","-.061408"
"id177","-2.576165","-1.674919","-.2451724",".1871839"
"id178","-.8231639",".5100448",".2134928",".0436305"
"id179","-20.05069","-1.070513","-1.385516","-1.021119"
"id180","-4.457381","-2.933956","-.4023426","-.2774634"
"id181","-1.849981","-.9091529","-.5727176","-.3539655"
"id182","-4.754825","-2.082354",".3865337",".4088666"
"N","1092","1092","1092","1092"
