ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate,ID,Date,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate
10020444473,0,0,106,116,2041.74,587.67,4455,6.704717536,32.17240936,849.8764669,15.12005047,10.18071924,10020436612,2018/7/3,0,0,30,23,627.9,217.2,580,5.106546915,39.67994015,1079.436848,20.48308977,14.30224426
10020444636,4,17,152,114,1794.44,641.83,3854,3.103327846,29.55235437,952.995399,19.40917326,12.78014378,10020436612,2018/7/4,0,1,56,60,905.92,341.7,1178,7.707333498,41.41189384,1166.134742,22.34360928,15.34873571
10020445034,0,0,177,193,1604.04,599.86,2689,2.043963384,27.00039749,846.0428089,18.30968265,10.14933153,10020436612,2018/7/5,0,0,22,23,299.6,88.64,428,2.153159346,24.95000682,969.1451973,11.78049144,8.129188384
10020445238,0,0,26,30,143.17,41.7,388.5,0.494282605,9.344804829,746.437409,7.02852984,4.853930131,10020436612,2018/7/6,0,0,29,36,880.26,320.94,1306,7.220675683,38.21289902,1121.022951,20.75777049,14.08518033
10020445261,52,28,292,300,1871.88,638.54,3550,3.614985087,32.17608456,981.035903,17.00246579,12.52967078,10020436612,2018/7/7,0,0,0,0,488.09,166.57,605,3.978920084,30.37140654,1004.835756,15.17732558,10.55763081
10020445409,0,0,108,103,1103.95,334.04,1375,10.53235847,23.80373548,861.498872,15.37416808,8.361148712,10020436612,2018/7/8,0,0,0,0,238.01,56.27,268,1.47046575,33.99408686,958.5537415,12.50884354,9.539863946
10020445514,132,55,94,104,3273.96,967.04,2988,5.166526523,40.58270639,1030.60716,22.44135258,12.9795514,10020437647,2018/7/3,0,0,0,0,0,0,0,0.000304237,0,0,0,0
10020445602,1,1,184,187,1528.98,402.54,3040,5.478826956,27.76817065,903.4759456,15.58433975,8.634331453,10020437647,2018/7/4,21,14,48,40,309.56,144.81,106,2.343858946,40.47238599,1112.939566,32.83701605,21.20783758
10020445606,0,0,24,25,403.36,122.52,1188,2.405481646,14.46261948,805.2511924,10.37159512,7.812718601,10020437647,2018/7/5,6,6,23,26,301.04,87.11,131,2.359846397,44.66975915,1137.465497,20.87953216,16.01269006
10020447429,5,10,130,113,1126.72,347.27,2117,4.573535012,27.84708302,1090.193036,18.5059662,11.84675219,10020437647,2018/7/6,0,0,0,0,0,0,0,0.000279322,0,0,0,0
10021048785,3,37,443,447,3976.28,1328.11,9243,4.078318042,35.00120172,1000.169091,16.99387074,11.20538695,10020437647,2018/7/7,0,2,38,25,105.94,47.24,175,0.467310854,26.58344224,1044.354651,23.7005814,15.30007267
10021049637,4,14,225,208,3089.13,1206.99,4162,7.220832099,36.66169822,1077.607308,23.97003235,15.37695603,10020437647,2018/7/8,0,0,0,0,0,0,0,0.000175171,0,0,0,0
14705563154,0,24,57,66,4901.87,1304.66,1178,5.844320964,62.22392701,940.6898204,7.10933043,17.08390855,10020438503,2018/7/3,0,0,5,9,18.13,6.82,53,0.069597622,7.011711491,669.9836066,6.052459016,4.959016393
14710503728,0,2,17,24,918.8,165.65,756,1.410875115,24.99212598,832.1601915,14.0145554,6.027181943,10020438503,2018/7/4,0,0,14,16,34.02,16.7,81,0.093526555,9.799789842,698.2195767,7.637037037,6.058068783
14806280523,37,62,55,61,2993.81,892.41,686,11.55214676,52.05503951,924.9171115,18.58700157,17.18595761,10020438503,2018/7/5,4,20,30,22,305.14,139.84,105,2.359394396,42.58763969,1166.206444,35.10835322,23.54624105
14806280702,13,31,101,91,3109.66,990.81,541,7.666966561,54.39727044,987.1548302,20.12662844,17.73054698,10020438503,2018/7/6,1,9,10,8,292.38,83.37,74,2.34348235,52.88708115,1260.810284,27.9964539,19.50975177
14806280834,94,153,123,108,2840.75,1093.43,782,10.15960908,50.59732341,1021.858699,21.2081471,18.53523338,10020438503,2018/7/7,0,0,17,17,111.36,47.29,159,0.47169521,20.80114396,874.3831615,13.7024055,9.962113402
14806280837,38,248,125,120,3509.29,1292.33,1516,8.194346851,49.56921066,1013.584105,20.59797851,17.78532823,10020438503,2018/7/8,0,0,0,0,0,0,0,0.000202475,0,0,0,0
14806281155,26,128,153,155,3589.47,1241.21,891,7.716808098,56.61434362,1071.286224,23.84493414,19.9245722,10020439582,2018/7/3,0,0,0,0,0,0,0,0.000210419,0,0,0,0
14806290095,68,57,279,285,3162.68,1189.09,1554,3.362790108,42.28805814,1188.797822,32.17721044,16.54243946,10020439582,2018/7/4,0,0,10,13,45.85,22.23,123,0.159938553,10.24910569,714.0047962,9.087769784,6.800479616
14806290096,219,64,254,256,3584.32,1077.11,3719,4.901634211,37.77048842,1056.203153,22.46839752,11.7751706,10020439582,2018/7/5,0,2,6,7,305.09,127.61,113,2.359345969,42.82553311,1024.393185,31.92136304,20.57863696
14806290106,6,19,68,72,2266.83,723.26,1636,10.92867173,35.91230955,1008.456425,22.70592965,12.70178751,10020439582,2018/7/6,0,0,8,8,291.85,70.39,83,2.344432682,44.49506313,1041.485246,19.36196721,13.72418033
14806290108,161,226,622,561,4119.55,1036.16,3267,5.223567232,46.92066513,926.7424934,20.62571429,9.763338848,10020439582,2018/7/7,0,0,7,9,103.3,39.67,188,0.467539547,18.45861626,794.0968379,13.32885375,9.488537549
14806290154,0,15,91,95,1832.54,570.47,944,5.390362628,35.4348905,1068.420359,24.15720639,12.26264207,10020439582,2018/7/8,0,0,0,0,0,0,0,0.000154842,0,0,0,0
14806290164,10,10,189,202,3047.84,843.81,3884,4.092687747,36.95228704,992.5303805,18.48203195,9.919973972,10020439692,2018/7/3,6,7,7,8,156.98,46.07,126,1.415695738,26.07313981,914.8746224,13.59577039,9.90407855
14806290516,0,0,471,478,814.35,106.32,2933,1.354510623,21.90519866,1104.782987,19.03422109,3.268946856,10020439692,2018/7/4,6,6,40,36,301.05,129.32,318,1.444090363,27.84108162,1086.76546,24.78763198,16.84558824
14806290546,0,0,20,17,359.61,67.09,224,2.266849571,19.08586472,1129.676793,20.11510549,7.727257384,10020439692,2018/7/5,0,0,7,12,56.71,16.36,56,0.5176694,15.7109465,841.0193798,10.70232558,8.009883721
14806290774,0,0,129,165,1098.05,221.28,1417,2.886813472,27.73228644,1002.788096,26.1714925,6.36109868,10020439692,2018/7/6,0,6,22,14,212.47,94.34,201,1.636220172,26.27988017,1060.76158,26.78910082,17.98433243
14806290896,2,30,93,95,3004.01,621.57,1947,1.932982312,50.36832037,1092.938791,27.31801395,10.90590207,10020439692,2018/7/7,4,23,0,0,614.43,253.35,416,4.730484176,50.89717737,1210.354366,36.130529,23.75207138
14807390971,1,9,115,106,2509.14,726.15,476,9.417963775,44.17219509,885.089363,15.35083488,13.60339363,10020439692,2018/7/8,0,0,0,0,0,0.37,0,0.001279782,0,380.0322581,0,1.45
14807391048,4,32,54,49,1492.23,443.72,632,11.25752576,40.9926249,855.159342,15.53901301,13.45310582,10020442466,2018/7/3,1,7,31,51,608.79,298.27,423,5.116839821,39.69929598,1019.259481,34.09221557,20.78325848
14807391195,0,30,61,70,2266.3,707.49,644,9.071057133,46.33110231,973.6188289,18.7145044,16.49462304,10020442466,2018/7/4,7,5,49,49,722.42,281.04,591,6.068311128,42.02794479,1035.975068,27.50154125,17.42146419
14807398730,3,7,34,41,598.12,1052.25,162,9.579510829,7.519120593,864.3256896,15.47400757,13.88871823,10020442466,2018/7/5,3,3,37,46,613.03,272.21,488,5.360014994,41.1835218,1029.614885,35.09470529,20.10217283
14807399171,0,75,75,73,5945.86,1377.85,982,14.86716798,65.60936409,983.6515635,17.87214878,15.45074756,10020442466,2018/7/6,2,3,36,26,445.41,176.94,558,3.664321754,37.23736909,1068.824449,27.9920398,17.2978678
14807399278,3,1,75,78,4777.43,908.73,896,5.970968255,56.34790168,856.3121134,12.26876011,11.00750785,10020442466,2018/7/7,0,4,9,7,400.86,148.21,270,2.507125386,35.19635757,927.4324324,20.91716581,14.15913075
14807399281,135,214,30,30,5314.53,1200.22,862,14.78656608,66.21419411,950.740336,4.912123052,14.76610504,10020442466,2018/7/8,0,4,22,15,430.83,196.18,361,3.51276108,40.84917511,1054.555031,34.59528302,21.46458333
14807399316,171,254,97,104,4545,1605.75,1289,26.78059738,51.55670269,979.0699003,22.43529601,18.73726271,10020442627,2018/7/3,2,4,31,15,506.81,224.11,282,4.357792562,33.61115877,940.8371681,27.09050147,16.93353982
14807399353,0,0,470,509,886.66,406.13,2488.5,0.296528968,26.73331797,1093.706428,21.85555265,11.13242096,10020442627,2018/7/4,0,9,36,27,504.98,189.98,524,4.59240953,37.68992494,991.3447631,23.61695761,15.05720075
14807399970,1,1,158,141,234.83,86.9,614,0.28211497,12.14301098,1074.780716,16.73796143,5.978856749,10020442627,2018/7/5,0,0,23,28,596.34,199.27,368,2.737728,38.39827225,910.6509071,13.17691039,13.79573942
14807406148,0,0,19,34,1207.54,195.42,1027,0.386954954,15.84303839,826.9178805,11.36499575,5.377998293,10020442627,2018/7/6,0,7,34,31,701.65,329.45,579,6.080257032,44.29530405,1037.634673,30.24341709,20.75037688
14807406155,51,13,235,375,2522.71,445.16,951,1.731757672,46.18949,1043.219838,23.26617192,9.380966436,10020442627,2018/7/7,10,6,24,14,552.06,172.67,463,4.229928929,45.62067021,989.9170872,21.57144917,14.65028839
