ID,Date,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate
10019419489,2018-07-03,17,12,79,86,571.7299999999996,235.47999999999956,662.0,1.2490625582708004,28.367798628653993,1002.26736995271,21.4859221535104,13.262313568570388
10019419489,2018-07-04,60,21,102,108,689.0,244.22000000000116,783.0,1.1865466058731111,33.56091129591134,968.6953480237845,24.292829660720543,12.497936341378093
10019419489,2018-07-05,11,9,72,70,477.1100000000006,194.20999999999913,662.0,0.8802543415087439,28.487413333333357,1010.2727693018956,24.837540453074453,13.274479889043006
10019419489,2018-07-06,32,15,93,89,531.3299999999981,216.1800000000003,696.0,0.8756210768825786,26.293692359474942,913.1652585332882,20.54694153430209,10.975566069618104
10019419489,2018-07-07,18,10,69,59,664.880000000001,251.35999999999876,802.0,1.156263225215178,30.308953610045364,987.6485634197618,20.957953749124048,12.002697967764535
10019419489,2018-07-08,0,1,13,9,187.90000000000146,79.56999999999971,234.0,0.6039037932800191,16.370746753246713,807.9301038062283,13.538546712802777,7.548754325259504
10019436951,2018-07-03,0,2,46,42,296.34000000000015,96.47000000000003,167.0,2.552828001794478,31.9372431957858,703.5701098901098,11.394285714285722,10.928923076923072
10019436951,2018-07-04,0,0,66,57,319.37999999999965,86.14999999999986,110.0,2.406128761647014,35.239917544663356,666.911009174312,10.892477064220213,9.740963302752318
10019436951,2018-07-05,0,0,115,107,516.9800000000005,183.16000000000008,393.0,3.198139249438806,34.03352587558824,877.3858226523672,14.550353125817452,13.02091289563171
10019436951,2018-07-06,0,0,27,22,355.9499999999998,105.6400000000001,178.0,2.4342553151076864,31.520281182408162,671.4142908697221,9.946878383255157,9.469848430169623
10019436951,2018-07-07,0,2,137,137,840.9799999999996,251.54999999999995,325.0,4.032288962976864,41.25942459893082,843.9672306703791,14.90400514028701,13.293317626900826
10019436951,2018-07-08,0,1,208,208,1150.6599999999999,416.3000000000002,375.0,7.574559648318379,51.70955793991423,1007.0045064377682,22.25656652360514,20.340976394849758
10019436955,2018-07-03,0,0,0,0,0.0,0.0,0.0,0.0003826878623591354,0.0,0.0,0.0,0.0
10019436955,2018-07-04,0,0,0,0,0.0,0.0,0.0,0.00043904555572585357,0.0,0.0,0.0,0.0
10019436955,2018-07-05,0,0,77,78,314.53,46.269999999999996,180.0,2.2696317495567415,28.889206349206415,565.2384643779992,2.225470653377631,4.522166851236617
10019436955,2018-07-06,0,0,2,1,0.5900000000000318,0.4200000000000159,8.0,0.0028672050850938316,0.15111767378464336,13.711101000909919,0.0,0.12015468607825294
10019436955,2018-07-07,0,0,0,0,0.0,0.0,0.0,0.00039915535823026023,0.0,0.0,0.0,0.0
10019436955,2018-07-08,0,0,0,0,0.0,0.0,0.0,0.0005887817932038574,0.0,0.0,0.0,0.0
10019437011,2018-07-03,0,0,0,0,0.0,0.0,0.0,0.0039166112903942715,0.0,0.0,0.0,0.0
10019437011,2018-07-04,0,0,0,0,0.0,0.0,0.0,0.0023968646186190686,0.0,0.0,0.0,0.0
10019437011,2018-07-05,0,0,0,0,0.0,0.0,0.0,0.0019224840701539943,0.0,0.0,0.0,0.0
10019437011,2018-07-06,0,0,79,76,157.10000000000002,24.370000000000005,168.0,1.1590690047106758,22.150097719869713,459.7643865363735,0.2655808903365907,4.163300760043445
10019437011,2018-07-07,0,0,45,44,184.54000000000002,26.900000000000006,159.0,1.5134581137705772,26.79834131736525,491.38152369526097,0.08230353929214158,4.288872225554885
10019437011,2018-07-08,0,0,0,0,0.049999999999954525,0.6799999999999784,2.0,0.0010707987672688459,0.09412887828162289,75.16229116945108,0.8868735083532219,0.4115751789976134
10020436612,2018-07-03,0,0,30,23,627.8999999999978,217.19999999999982,580.0,5.106546914756883,39.679940149625935,1079.4368475991648,20.483089770354916,14.302244258872653
10020436612,2018-07-04,0,1,56,60,905.9199999999983,341.7000000000007,1178.0,7.707333497953033,41.41189383561659,1166.1347419466574,22.343609282992695,15.34873571181162
10020436612,2018-07-05,0,0,22,23,299.6000000000022,88.63999999999942,428.0,2.153159345528337,24.950006816632527,969.1451973194341,11.780491437081166,8.129188384214443
10020436612,2018-07-06,0,0,29,36,880.2599999999984,320.9400000000005,1306.0,7.220675682746731,38.21289902280141,1121.0229508196721,20.757770491803264,14.085180327868866
10020436612,2018-07-07,0,0,0,0,488.09000000000015,166.5699999999997,605.0,3.9789200837952143,30.371406542056157,1004.8357558139535,15.177325581395346,10.557630813953477
10020436612,2018-07-08,0,0,0,0,238.01000000000204,56.26999999999953,268.0,1.4704657504518726,33.99408685968813,958.5537414965986,12.50884353741495,9.539863945578231
10020437647,2018-07-03,0,0,0,0,0.0,0.0,0.0,0.0003042367499150072,0.0,0.0,0.0,0.0
10020437647,2018-07-04,21,14,48,40,309.5599999999995,144.80999999999995,106.0,2.343858946153545,40.472385993485354,1112.939565627951,32.837016052880024,21.207837582625107
10020437647,2018-07-05,6,6,23,26,301.03999999999996,87.10999999999967,131.0,2.359846396801492,44.66975915221585,1137.4654970760234,20.879532163742706,16.012690058479517
10020437647,2018-07-06,0,0,0,0,0.0,0.0,0.0,0.00027932239437717163,0.0,0.0,0.0,0.0
10020437647,2018-07-07,0,2,38,25,105.94000000000051,47.24000000000024,175.0,0.46731085384036153,26.58344224037336,1044.3546511627908,23.700581395348838,15.300072674418603
10020437647,2018-07-08,0,0,0,0,0.0,0.0,0.0,0.00017517134468482336,0.0,0.0,0.0,0.0
